# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 016-ERDBWN
# station_name: Akhuapada
# latitude: 20.916944444444447
# longitude: 86.27972222222222
# river: Baitarani
# rl_zero: 0.0
# warning_level: 17.83
# danger_level: 18.33
# hfl: 21.95
# hfl_date: 1960-08-16
station_code,time,wse,water_depth,unit,lat,lon
016-ERDBWN,2024-01-01 08:00:00,15.58,15.58,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-01 13:00:00,15.56,15.56,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-01 18:00:00,15.54,15.54,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-02 08:00:00,15.53,15.53,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-02 13:00:00,15.52,15.52,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-02 18:00:00,15.51,15.51,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-03 08:00:00,15.5,15.5,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-03 13:00:00,15.49,15.49,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-03 18:00:00,15.48,15.48,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-04 08:00:00,15.47,15.47,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-04 13:00:00,15.45,15.45,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-04 18:00:00,15.42,15.42,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-05 08:00:00,15.4,15.4,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-05 13:00:00,15.38,15.38,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-05 18:00:00,15.37,15.37,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-06 08:00:00,15.36,15.36,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-06 13:00:00,15.35,15.35,m,20.916944444444447,86.27972222222222
016-ERDBWN,2024-01-06 18:00:00,15.05,15.05,m,20.916944444444447,86.27972222222222
