# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 001-LKDHYD
# station_name: Almatti Reservoir
# latitude: 16.33
# longitude: 75.88
# river: Krishna
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: nan
# hfl_date: nan
station_code,time,wse,water_depth,unit,lat,lon
001-LKDHYD,2024-01-01 08:00:00,514.14,514.14,m,16.33,75.88
001-LKDHYD,2024-01-01 13:00:00,514.14,514.14,m,16.33,75.88
001-LKDHYD,2024-01-01 18:00:00,514.13,514.13,m,16.33,75.88
001-LKDHYD,2024-01-02 08:00:00,514.13,514.13,m,16.33,75.88
001-LKDHYD,2024-01-02 13:00:00,514.13,514.13,m,16.33,75.88
001-LKDHYD,2024-01-02 18:00:00,514.12,514.12,m,16.33,75.88
001-LKDHYD,2024-01-03 08:00:00,514.12,514.12,m,16.33,75.88
001-LKDHYD,2024-01-03 13:00:00,514.12,514.12,m,16.33,75.88
001-LKDHYD,2024-01-03 18:00:00,514.12,514.12,m,16.33,75.88
001-LKDHYD,2024-01-04 08:00:00,514.11,514.11,m,16.33,75.88
001-LKDHYD,2024-01-04 13:00:00,514.11,514.11,m,16.33,75.88
001-LKDHYD,2024-01-04 18:00:00,514.11,514.11,m,16.33,75.88
001-LKDHYD,2024-01-05 08:00:00,514.1,514.1,m,16.33,75.88
001-LKDHYD,2024-01-05 13:00:00,514.1,514.1,m,16.33,75.88
001-LKDHYD,2024-01-05 18:00:00,514.1,514.1,m,16.33,75.88
001-LKDHYD,2024-01-06 08:00:00,514.09,514.09,m,16.33,75.88
001-LKDHYD,2024-01-06 13:00:00,514.09,514.09,m,16.33,75.88
001-LKDHYD,2024-01-06 18:00:00,517.09,517.09,m,16.33,75.88
