# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 004-SWRDKOCHI
# station_name: KUTTYADI
# latitude: 11.650833333333331
# longitude: 75.75833333333334
# river: Kuttyadi
# rl_zero: 0.0
# warning_level: 5.95
# danger_level: 6.95
# hfl: 8.7
# hfl_date: 2019-08-08
station_code,time,wse,water_depth,unit,lat,lon
004-SWRDKOCHI,2024-01-01 00:00:00,0.76,0.76,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-01 08:00:00,0.62,0.62,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-01 13:00:00,0.62,0.62,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-01 18:00:00,0.62,0.62,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-02 08:00:00,0.62,0.62,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-02 13:00:00,0.6,0.6,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-02 18:00:00,0.62,0.62,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-03 08:00:00,0.63,0.63,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-03 13:00:00,0.6,0.6,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-03 18:00:00,0.6,0.6,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-04 08:00:00,0.62,0.62,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-04 13:00:00,0.59,0.59,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-04 18:00:00,0.65,0.65,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-05 08:00:00,0.85,0.85,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-05 13:00:00,0.94,0.94,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-05 18:00:00,0.91,0.91,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-06 08:00:00,1.23,1.23,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-06 13:00:00,0.8,0.8,m,11.650833333333331,75.75833333333334
004-SWRDKOCHI,2024-01-06 18:00:00,0.91,0.91,m,11.650833333333331,75.75833333333334
