# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 004-mgd3vns
# station_name: SITAMARHI
# latitude: 25.27722222222222
# longitude: 82.28722222222223
# river: Ganga
# rl_zero: 0.0
# warning_level: 80.2
# danger_level: 81.2
# hfl: 81.2
# hfl_date: 2013-08-26
station_code,time,wse,water_depth,unit,lat,lon
004-mgd3vns,2024-01-01 08:00:00,66.16,66.16,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-01 13:00:00,66.15,66.15,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-01 18:00:00,66.14,66.14,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-02 08:00:00,66.12,66.12,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-02 13:00:00,66.12,66.12,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-02 18:00:00,66.11,66.11,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-03 08:00:00,66.09,66.09,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-03 13:00:00,66.09,66.09,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-03 18:00:00,66.1,66.1,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-04 08:00:00,66.12,66.12,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-04 13:00:00,66.13,66.13,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-04 18:00:00,66.15,66.15,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-05 08:00:00,66.2,66.2,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-05 13:00:00,66.21,66.21,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-05 18:00:00,66.22,66.22,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-06 08:00:00,66.24,66.24,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-06 13:00:00,66.25,66.25,m,25.27722222222222,82.28722222222223
004-mgd3vns,2024-01-06 18:00:00,66.25,66.25,m,25.27722222222222,82.28722222222223
