# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 005-SHDSIM
# station_name: PANDOA
# latitude: 31.26730555555556
# longitude: 77.288
# river: Satluj
# rl_zero: 672.0
# warning_level: nan
# danger_level: nan
# hfl: 689.6
# hfl_date: 2010-08-07
station_code,time,wse,water_depth,unit,lat,lon
005-SHDSIM,2024-01-01 08:00:00,677.34,5.340000000000032,m,31.26730555555556,77.288
005-SHDSIM,2024-01-01 13:00:00,678.7,6.7000000000000455,m,31.26730555555556,77.288
005-SHDSIM,2024-01-01 18:00:00,677.52,5.519999999999982,m,31.26730555555556,77.288
005-SHDSIM,2024-01-02 08:00:00,677.34,5.340000000000032,m,31.26730555555556,77.288
005-SHDSIM,2024-01-02 13:00:00,678.7,6.7000000000000455,m,31.26730555555556,77.288
005-SHDSIM,2024-01-02 18:00:00,677.52,5.519999999999982,m,31.26730555555556,77.288
005-SHDSIM,2024-01-03 08:00:00,677.4,5.399999999999977,m,31.26730555555556,77.288
005-SHDSIM,2024-01-03 13:00:00,678.72,6.720000000000027,m,31.26730555555556,77.288
005-SHDSIM,2024-01-03 18:00:00,677.52,5.519999999999982,m,31.26730555555556,77.288
005-SHDSIM,2024-01-04 08:00:00,677.34,5.340000000000032,m,31.26730555555556,77.288
005-SHDSIM,2024-01-04 13:00:00,678.7,6.7000000000000455,m,31.26730555555556,77.288
005-SHDSIM,2024-01-04 18:00:00,677.52,5.519999999999982,m,31.26730555555556,77.288
005-SHDSIM,2024-01-05 08:00:00,677.34,5.340000000000032,m,31.26730555555556,77.288
005-SHDSIM,2024-01-05 13:00:00,678.68,6.67999999999995,m,31.26730555555556,77.288
005-SHDSIM,2024-01-05 18:00:00,677.52,5.519999999999982,m,31.26730555555556,77.288
005-SHDSIM,2024-01-06 08:00:00,677.34,5.340000000000032,m,31.26730555555556,77.288
005-SHDSIM,2024-01-06 13:00:00,678.66,6.659999999999968,m,31.26730555555556,77.288
005-SHDSIM,2024-01-06 18:00:00,677.52,5.519999999999982,m,31.26730555555556,77.288
