# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 006-mgd4ptn
# station_name: Rosera
# latitude: 25.749722222222225
# longitude: 86.02111111111111
# river: Burhi Gandak
# rl_zero: 35.5
# warning_level: 41.63
# danger_level: 42.63
# hfl: 46.56
# hfl_date: 2020-08-03
station_code,time,wse,water_depth,unit,lat,lon
006-mgd4ptn,2024-01-03 08:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-03 13:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-03 18:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-04 08:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-04 13:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-04 18:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-05 08:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-05 13:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-05 18:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-06 08:00:00,36.75,1.25,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-06 13:00:00,36.64,1.1400000000000006,m,25.749722222222225,86.02111111111111
006-mgd4ptn,2024-01-06 18:00:00,36.64,1.1400000000000006,m,25.749722222222225,86.02111111111111
