# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 008-LBDJPG
# station_name: Golokganj
# latitude: 26.107222222222223
# longitude: 89.8236111111111
# river: Sankosh
# rl_zero: 0.0
# warning_level: 28.94
# danger_level: 29.94
# hfl: 30.95
# hfl_date: 2007-09-08
station_code,time,wse,water_depth,unit,lat,lon
008-LBDJPG,2024-01-01 08:00:00,26.36,26.36,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-01 13:00:00,26.36,26.36,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-01 18:00:00,26.36,26.36,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-02 08:00:00,26.36,26.36,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-02 13:00:00,26.36,26.36,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-02 18:00:00,26.36,26.36,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-03 08:00:00,26.35,26.35,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-03 13:00:00,26.35,26.35,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-03 18:00:00,26.34,26.34,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-04 08:00:00,26.34,26.34,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-04 13:00:00,26.34,26.34,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-04 18:00:00,26.34,26.34,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-05 08:00:00,26.34,26.34,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-05 13:00:00,26.34,26.34,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-05 18:00:00,26.33,26.33,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-06 08:00:00,26.32,26.32,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-06 13:00:00,26.32,26.32,m,26.107222222222223,89.8236111111111
008-LBDJPG,2024-01-06 18:00:00,26.32,26.32,m,26.107222222222223,89.8236111111111
