# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 010-mgd3vns
# station_name: Jaunpur
# latitude: 25.749166666666667
# longitude: 82.67194444444445
# river: Gomti
# rl_zero: 0.0
# warning_level: 73.066
# danger_level: 74.066
# hfl: 77.738
# hfl_date: 1971-09-22
station_code,time,wse,water_depth,unit,lat,lon
010-mgd3vns,2024-01-01 08:00:00,67.07,67.07,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-01 13:00:00,67.07,67.07,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-01 18:00:00,67.08,67.08,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-02 08:00:00,67.1,67.1,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-02 13:00:00,67.1,67.1,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-02 18:00:00,67.1,67.1,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-03 08:00:00,67.13,67.13,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-03 13:00:00,67.13,67.13,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-03 18:00:00,67.14,67.14,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-04 08:00:00,67.18,67.18,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-04 13:00:00,67.18,67.18,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-04 18:00:00,67.18,67.18,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-05 08:00:00,67.19,67.19,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-05 13:00:00,67.19,67.19,m,25.749166666666667,82.67194444444445
010-mgd3vns,2024-01-05 18:00:00,67.19,67.19,m,25.749166666666667,82.67194444444445
