# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 011-WGDNGP
# station_name: Hivra
# latitude: 20.547222222222224
# longitude: 78.325
# river: Wardha
# rl_zero: 230.0
# warning_level: nan
# danger_level: nan
# hfl: 248.41
# hfl_date: 1994-07-12
station_code,time,wse,water_depth,unit,lat,lon
011-WGDNGP,2024-01-01 08:00:00,231.3,1.3000000000000114,m,20.547222222222224,78.325
011-WGDNGP,2024-01-01 13:00:00,231.3,1.3000000000000114,m,20.547222222222224,78.325
011-WGDNGP,2024-01-01 18:00:00,231.3,1.3000000000000114,m,20.547222222222224,78.325
011-WGDNGP,2024-01-02 08:00:00,231.27,1.2700000000000102,m,20.547222222222224,78.325
011-WGDNGP,2024-01-02 13:00:00,231.27,1.2700000000000102,m,20.547222222222224,78.325
011-WGDNGP,2024-01-02 14:00:00,231.27,1.2700000000000102,m,20.547222222222224,78.325
011-WGDNGP,2024-01-02 18:00:00,231.27,1.2700000000000102,m,20.547222222222224,78.325
011-WGDNGP,2024-01-03 08:00:00,231.25,1.25,m,20.547222222222224,78.325
011-WGDNGP,2024-01-03 13:00:00,231.25,1.25,m,20.547222222222224,78.325
011-WGDNGP,2024-01-03 18:00:00,231.25,1.25,m,20.547222222222224,78.325
011-WGDNGP,2024-01-04 08:00:00,231.24,1.240000000000009,m,20.547222222222224,78.325
011-WGDNGP,2024-01-04 13:00:00,231.24,1.240000000000009,m,20.547222222222224,78.325
011-WGDNGP,2024-01-04 18:00:00,231.25,1.25,m,20.547222222222224,78.325
011-WGDNGP,2024-01-05 08:00:00,231.32,1.3199999999999932,m,20.547222222222224,78.325
011-WGDNGP,2024-01-05 13:00:00,231.32,1.3199999999999932,m,20.547222222222224,78.325
011-WGDNGP,2024-01-05 18:00:00,231.33,1.3300000000000125,m,20.547222222222224,78.325
011-WGDNGP,2024-01-06 08:00:00,231.37,1.3700000000000045,m,20.547222222222224,78.325
011-WGDNGP,2024-01-06 13:00:00,231.37,1.3700000000000045,m,20.547222222222224,78.325
011-WGDNGP,2024-01-06 18:00:00,231.38,1.3799999999999955,m,20.547222222222224,78.325
