# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 012-MDBURLA
# station_name: Hirakud Reservoir
# latitude: 21.52
# longitude: 83.85
# river: Mahanadi
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 192.3
# hfl_date: nan
station_code,time,wse,water_depth,unit,lat,lon
012-MDBURLA,2024-01-01 00:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 01:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 02:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 03:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 04:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 05:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 06:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 07:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 08:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 09:00:00,191.43,191.43,m,21.52,83.85
012-MDBURLA,2024-01-01 10:00:00,191.42,191.42,m,21.52,83.85
012-MDBURLA,2024-01-01 11:00:00,191.42,191.42,m,21.52,83.85
012-MDBURLA,2024-01-01 12:00:00,191.42,191.42,m,21.52,83.85
012-MDBURLA,2024-01-01 13:00:00,191.42,191.42,m,21.52,83.85
012-MDBURLA,2024-01-01 14:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 15:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 16:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 17:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 18:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 19:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 20:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 21:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 22:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-01 23:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 00:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 01:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 02:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 03:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 04:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 05:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 06:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 07:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 08:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 09:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 10:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 11:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 12:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 13:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 14:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 15:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 16:00:00,191.41,191.41,m,21.52,83.85
012-MDBURLA,2024-01-02 17:00:00,191.4,191.4,m,21.52,83.85
012-MDBURLA,2024-01-02 18:00:00,191.4,191.4,m,21.52,83.85
012-MDBURLA,2024-01-02 19:00:00,191.4,191.4,m,21.52,83.85
012-MDBURLA,2024-01-02 20:00:00,191.4,191.4,m,21.52,83.85
012-MDBURLA,2024-01-02 21:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-02 22:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-02 23:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 00:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 01:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 02:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 03:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 04:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 05:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 06:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 07:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 08:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 09:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 10:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 11:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 12:00:00,191.39,191.39,m,21.52,83.85
012-MDBURLA,2024-01-03 13:00:00,191.38,191.38,m,21.52,83.85
