# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 013-lkdhyd
# station_name: Mantralayam
# latitude: 15.94
# longitude: 77.42
# river: Tungabhadra
# rl_zero: 306.0
# warning_level: 310.0
# danger_level: 312.0
# hfl: 318.77
# hfl_date: 2009-10-02
station_code,time,wse,water_depth,unit,lat,lon
013-lkdhyd,2024-01-01 08:00:00,306.05,0.05000000000001137,m,15.94,77.42
013-lkdhyd,2024-01-01 13:00:00,306.05,0.05000000000001137,m,15.94,77.42
013-lkdhyd,2024-01-01 18:00:00,306.04,0.040000000000020464,m,15.94,77.42
013-lkdhyd,2024-01-02 08:00:00,306.02,0.01999999999998181,m,15.94,77.42
013-lkdhyd,2024-01-02 13:00:00,306.02,0.01999999999998181,m,15.94,77.42
013-lkdhyd,2024-01-02 18:00:00,306.01,0.009999999999990905,m,15.94,77.42
013-lkdhyd,2024-01-03 08:00:00,306.0,0.0,m,15.94,77.42
013-lkdhyd,2024-01-03 13:00:00,306.0,0.0,m,15.94,77.42
013-lkdhyd,2024-01-03 18:00:00,306.0,0.0,m,15.94,77.42
013-lkdhyd,2024-01-04 08:00:00,306.0,0.0,m,15.94,77.42
013-lkdhyd,2024-01-04 13:00:00,305.99,-0.009999999999990905,m,15.94,77.42
013-lkdhyd,2024-01-04 18:00:00,305.99,-0.009999999999990905,m,15.94,77.42
013-lkdhyd,2024-01-05 08:00:00,305.98,-0.01999999999998181,m,15.94,77.42
013-lkdhyd,2024-01-05 13:00:00,305.97,-0.029999999999972715,m,15.94,77.42
013-lkdhyd,2024-01-05 18:00:00,305.96,-0.040000000000020464,m,15.94,77.42
013-lkdhyd,2024-01-06 08:00:00,305.95,-0.05000000000001137,m,15.94,77.42
013-lkdhyd,2024-01-06 13:00:00,305.94,-0.060000000000002274,m,15.94,77.42
013-lkdhyd,2024-01-06 18:00:00,305.94,-0.060000000000002274,m,15.94,77.42
