# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 015-MDBURLA
# station_name: Baronda
# latitude: 20.91055555555556
# longitude: 81.88722222222223
# river: Pairi
# rl_zero: 283.0
# warning_level: nan
# danger_level: nan
# hfl: 290.82
# hfl_date: 2008-09-18
station_code,time,wse,water_depth,unit,lat,lon
015-MDBURLA,2024-01-01 08:00:00,283.87,0.8700000000000045,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-01 13:00:00,283.87,0.8700000000000045,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-01 18:00:00,283.87,0.8700000000000045,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-02 08:00:00,283.86,0.8600000000000136,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-02 13:00:00,283.86,0.8600000000000136,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-02 18:00:00,283.86,0.8600000000000136,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-03 08:00:00,283.85,0.8500000000000227,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-03 13:00:00,283.86,0.8600000000000136,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-03 18:00:00,283.87,0.8700000000000045,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-04 08:00:00,283.88,0.8799999999999955,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-04 13:00:00,283.9,0.8999999999999773,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-04 18:00:00,283.92,0.9200000000000159,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-05 08:00:00,283.96,0.9599999999999795,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-05 13:00:00,283.97,0.9700000000000273,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-05 18:00:00,283.98,0.9800000000000182,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-06 08:00:00,283.99,0.9900000000000091,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-06 13:00:00,284.0,1.0,m,20.91055555555556,81.88722222222223
015-MDBURLA,2024-01-06 18:00:00,284.0,1.0,m,20.91055555555556,81.88722222222223
