# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 015-NDBHP
# station_name: Tawa Reservoir
# latitude: 22.563
# longitude: 77.976
# river: Tawa
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 356.692
# hfl_date: nan
station_code,time,wse,water_depth,unit,lat,lon
015-NDBHP,2024-01-01 08:00:00,353.233,353.233,m,22.563,77.976
015-NDBHP,2024-01-01 13:00:00,353.233,353.233,m,22.563,77.976
015-NDBHP,2024-01-01 18:00:00,353.202,353.202,m,22.563,77.976
015-NDBHP,2024-01-02 08:00:00,353.233,353.233,m,22.563,77.976
015-NDBHP,2024-01-02 13:00:00,353.233,353.233,m,22.563,77.976
015-NDBHP,2024-01-02 18:00:00,353.202,353.202,m,22.563,77.976
015-NDBHP,2024-01-03 08:00:00,353.172,353.172,m,22.563,77.976
015-NDBHP,2024-01-03 13:00:00,353.141,353.141,m,22.563,77.976
015-NDBHP,2024-01-03 18:00:00,353.141,353.141,m,22.563,77.976
015-NDBHP,2024-01-04 08:00:00,353.11,353.11,m,22.563,77.976
015-NDBHP,2024-01-04 13:00:00,353.08,353.08,m,22.563,77.976
015-NDBHP,2024-01-04 18:00:00,353.08,353.08,m,22.563,77.976
015-NDBHP,2024-01-05 08:00:00,352.989,352.989,m,22.563,77.976
015-NDBHP,2024-01-05 13:00:00,352.989,352.989,m,22.563,77.976
015-NDBHP,2024-01-05 18:00:00,352.989,352.989,m,22.563,77.976
015-NDBHP,2024-01-06 08:00:00,352.958,352.958,m,22.563,77.976
015-NDBHP,2024-01-06 13:00:00,352.958,352.958,m,22.563,77.976
015-NDBHP,2024-01-06 18:00:00,352.958,352.958,m,22.563,77.976
