# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 015-UGDHYD
# station_name: Nanded
# latitude: 19.15
# longitude: 77.31
# river: Godavari
# rl_zero: 340.5
# warning_level: 351.0
# danger_level: 354.0
# hfl: 357.1
# hfl_date: 2006-08-06
station_code,time,wse,water_depth,unit,lat,lon
015-UGDHYD,2024-01-01 08:00:00,343.35,2.8500000000000227,m,19.15,77.31
015-UGDHYD,2024-01-01 13:00:00,343.35,2.8500000000000227,m,19.15,77.31
015-UGDHYD,2024-01-01 18:00:00,343.34,2.839999999999975,m,19.15,77.31
015-UGDHYD,2024-01-02 08:00:00,343.33,2.829999999999984,m,19.15,77.31
015-UGDHYD,2024-01-02 13:00:00,343.33,2.829999999999984,m,19.15,77.31
015-UGDHYD,2024-01-02 18:00:00,343.32,2.819999999999993,m,19.15,77.31
015-UGDHYD,2024-01-03 08:00:00,343.32,2.819999999999993,m,19.15,77.31
015-UGDHYD,2024-01-03 13:00:00,343.32,2.819999999999993,m,19.15,77.31
015-UGDHYD,2024-01-03 18:00:00,343.32,2.819999999999993,m,19.15,77.31
015-UGDHYD,2024-01-04 08:00:00,343.31,2.8100000000000023,m,19.15,77.31
015-UGDHYD,2024-01-04 13:00:00,343.31,2.8100000000000023,m,19.15,77.31
015-UGDHYD,2024-01-04 18:00:00,343.31,2.8100000000000023,m,19.15,77.31
015-UGDHYD,2024-01-05 08:00:00,343.3,2.8000000000000114,m,19.15,77.31
015-UGDHYD,2024-01-05 13:00:00,343.3,2.8000000000000114,m,19.15,77.31
015-UGDHYD,2024-01-06 08:00:00,343.3,2.8000000000000114,m,19.15,77.31
015-UGDHYD,2024-01-06 13:00:00,343.3,2.8000000000000114,m,19.15,77.31
015-UGDHYD,2024-01-06 18:00:00,343.3,2.8000000000000114,m,19.15,77.31
