# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 016-MAHGAND
# station_name: Kheroj
# latitude: 24.231111111111108
# longitude: 73.00833333333334
# river: Sabarmati
# rl_zero: 208.0
# warning_level: nan
# danger_level: nan
# hfl: 218.0
# hfl_date: 2006-08-19
station_code,time,wse,water_depth,unit,lat,lon
016-MAHGAND,2024-01-01 08:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-01 13:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-01 18:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-02 08:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-02 13:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-02 18:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-03 08:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-03 13:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-03 18:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-04 08:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-04 13:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-04 18:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-05 08:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-05 13:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-05 18:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-06 08:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-06 13:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
016-MAHGAND,2024-01-06 18:00:00,209.68,1.6800000000000068,m,24.231111111111108,73.00833333333334
