# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 016-MDBURLA
# station_name: Andhiyarkhore
# latitude: 21.834722222222226
# longitude: 81.59722222222221
# river: Hamp
# rl_zero: 252.0
# warning_level: nan
# danger_level: nan
# hfl: 260.2
# hfl_date: 2022-08-12
station_code,time,wse,water_depth,unit,lat,lon
016-MDBURLA,2024-01-01 08:00:00,254.03,2.030000000000001,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-01 13:00:00,254.03,2.030000000000001,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-01 18:00:00,254.03,2.030000000000001,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-02 08:00:00,254.02,2.0200000000000102,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-02 13:00:00,254.02,2.0200000000000102,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-02 18:00:00,254.02,2.0200000000000102,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-03 08:00:00,254.01,2.009999999999991,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-03 13:00:00,254.01,2.009999999999991,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-03 18:00:00,254.01,2.009999999999991,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-04 08:00:00,254.0,2.0,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-04 13:00:00,253.99,1.990000000000009,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-04 18:00:00,253.98,1.9799999999999898,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-05 08:00:00,253.97,1.9699999999999989,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-05 13:00:00,253.97,1.9699999999999989,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-05 18:00:00,253.97,1.9699999999999989,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-06 08:00:00,253.96,1.960000000000008,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-06 13:00:00,253.96,1.960000000000008,m,21.834722222222226,81.59722222222221
016-MDBURLA,2024-01-06 18:00:00,253.96,1.960000000000008,m,21.834722222222226,81.59722222222221
