# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 016-lkdhyd
# station_name: Srisailam Reservoir
# latitude: 16.08
# longitude: 78.9
# river: Krishna
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: nan
# hfl_date: 2009-10-03
station_code,time,wse,water_depth,unit,lat,lon
016-lkdhyd,2024-01-01 08:00:00,253.045,253.045,m,16.08,78.9
016-lkdhyd,2024-01-01 13:00:00,253.045,253.045,m,16.08,78.9
016-lkdhyd,2024-01-01 18:00:00,253.045,253.045,m,16.08,78.9
016-lkdhyd,2024-01-02 08:00:00,252.984,252.984,m,16.08,78.9
016-lkdhyd,2024-01-02 13:00:00,252.984,252.984,m,16.08,78.9
016-lkdhyd,2024-01-02 18:00:00,252.984,252.984,m,16.08,78.9
016-lkdhyd,2024-01-03 08:00:00,252.923,252.923,m,16.08,78.9
016-lkdhyd,2024-01-03 13:00:00,252.923,252.923,m,16.08,78.9
016-lkdhyd,2024-01-03 18:00:00,252.923,252.923,m,16.08,78.9
016-lkdhyd,2024-01-04 08:00:00,252.825,252.825,m,16.08,78.9
016-lkdhyd,2024-01-04 13:00:00,252.832,252.832,m,16.08,78.9
016-lkdhyd,2024-01-04 18:00:00,252.832,252.832,m,16.08,78.9
016-lkdhyd,2024-01-05 08:00:00,252.771,252.771,m,16.08,78.9
016-lkdhyd,2024-01-05 13:00:00,252.771,252.771,m,16.08,78.9
016-lkdhyd,2024-01-05 18:00:00,252.771,252.771,m,16.08,78.9
016-lkdhyd,2024-01-06 08:00:00,252.74,252.74,m,16.08,78.9
016-lkdhyd,2024-01-06 13:00:00,252.74,252.74,m,16.08,78.9
016-lkdhyd,2024-01-06 18:00:00,252.74,252.74,m,16.08,78.9
