# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 025-LGD3BEH
# station_name: BAJITPUR
# latitude: 23.20805555555556
# longitude: 88.73194444444445
# river: Ichamati
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 12.12
# hfl_date: 2024-09-17
station_code,time,wse,water_depth,unit,lat,lon
025-LGD3BEH,2024-01-01 08:00:00,9.7,9.7,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-01 13:00:00,9.7,9.7,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-01 18:00:00,9.69,9.69,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-02 08:00:00,9.68,9.68,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-02 13:00:00,9.86,9.86,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-02 18:00:00,9.75,9.75,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-03 08:00:00,9.67,9.67,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-03 13:00:00,9.67,9.67,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-03 18:00:00,9.665,9.665,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-04 08:00:00,9.665,9.665,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-04 13:00:00,9.66,9.66,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-04 18:00:00,9.66,9.66,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-05 08:00:00,9.665,9.665,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-05 13:00:00,9.65,9.65,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-05 18:00:00,9.64,9.64,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-06 08:00:00,9.63,9.63,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-06 13:00:00,9.62,9.62,m,23.20805555555556,88.73194444444445
025-LGD3BEH,2024-01-06 18:00:00,9.61,9.61,m,23.20805555555556,88.73194444444445
