# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 027-LGDHYD
# station_name: GodavariRlyBridge(Rajahmundry)
# latitude: 17.006944444444443
# longitude: 81.76694444444445
# river: Godavari
# rl_zero: 0.0
# warning_level: 17.68
# danger_level: 19.51
# hfl: 20.48
# hfl_date: nan
station_code,time,wse,water_depth,unit,lat,lon
027-LGDHYD,2024-01-01 08:00:00,13.76,13.76,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-01 13:00:00,13.76,13.76,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-01 18:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-02 08:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-02 13:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-02 18:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-03 08:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-03 13:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-03 18:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-04 08:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-04 13:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-04 18:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-05 08:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-05 13:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-05 18:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-06 08:00:00,13.72,13.72,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-06 13:00:00,13.49,13.49,m,17.006944444444443,81.76694444444445
027-LGDHYD,2024-01-06 18:00:00,13.49,13.49,m,17.006944444444443,81.76694444444445
