# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 031-SWRDKOCHI
# station_name: MANAKKAD
# latitude: 9.908888888888889
# longitude: 76.69611111111111
# river: Thodupuzha
# rl_zero: 0.0
# warning_level: 36.5
# danger_level: 37.5
# hfl: 38.18
# hfl_date: 2019-08-09
station_code,time,wse,water_depth,unit,lat,lon
031-SWRDKOCHI,2024-01-01 00:00:00,33.81,33.81,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-01 08:00:00,33.78,33.78,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-01 13:00:00,33.79,33.79,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-02 08:00:00,33.83,33.83,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-02 13:00:00,33.815,33.815,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-02 18:00:00,33.815,33.815,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-03 08:00:00,33.88,33.88,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-03 13:00:00,33.9,33.9,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-03 18:00:00,33.91,33.91,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-04 08:00:00,33.94,33.94,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-04 13:00:00,33.93,33.93,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-04 18:00:00,33.91,33.91,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-05 08:00:00,34.06,34.06,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-05 13:00:00,34.1,34.1,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-05 18:00:00,34.35,34.35,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-06 08:00:00,34.82,34.82,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-06 13:00:00,34.87,34.87,m,9.908888888888889,76.69611111111111
031-SWRDKOCHI,2024-01-06 18:00:00,34.89,34.89,m,9.908888888888889,76.69611111111111
