# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 032-TDSURAT
# station_name: DAMAN
# latitude: 20.41
# longitude: 72.83999999999999
# river: Daman Ganga
# rl_zero: 0.0
# warning_level: 2.6
# danger_level: 3.4
# hfl: 4.0
# hfl_date: 2004-08-03
station_code,time,wse,water_depth,unit,lat,lon
032-TDSURAT,2024-01-01 08:00:00,0.2,0.2,m,20.41,72.83999999999999
032-TDSURAT,2024-01-01 13:00:00,1.5,1.5,m,20.41,72.83999999999999
032-TDSURAT,2024-01-01 18:00:00,0.6,0.6,m,20.41,72.83999999999999
032-TDSURAT,2024-01-02 08:00:00,0.4,0.4,m,20.41,72.83999999999999
032-TDSURAT,2024-01-02 13:00:00,-2.1,-2.1,m,20.41,72.83999999999999
032-TDSURAT,2024-01-02 18:00:00,0.7,0.7,m,20.41,72.83999999999999
032-TDSURAT,2024-01-03 08:00:00,0.5,0.5,m,20.41,72.83999999999999
032-TDSURAT,2024-01-03 13:00:00,-2.6,-2.6,m,20.41,72.83999999999999
032-TDSURAT,2024-01-03 18:00:00,0.9,0.9,m,20.41,72.83999999999999
032-TDSURAT,2024-01-05 08:00:00,0.7,0.7,m,20.41,72.83999999999999
032-TDSURAT,2024-01-05 13:00:00,-1.2,-1.2,m,20.41,72.83999999999999
032-TDSURAT,2024-01-05 18:00:00,0.2,0.2,m,20.41,72.83999999999999
032-TDSURAT,2024-01-06 08:00:00,0.5,0.5,m,20.41,72.83999999999999
032-TDSURAT,2024-01-06 13:00:00,-0.7,-0.7,m,20.41,72.83999999999999
032-TDSURAT,2024-01-06 18:00:00,-0.2,-0.2,m,20.41,72.83999999999999
