# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 033-SWRDKOCHI
# station_name: PALAKADAVU
# latitude: 10.425
# longitude: 76.23777777777778
# river: Karuvannur
# rl_zero: -1.5
# warning_level: 4.14
# danger_level: 5.14
# hfl: 6.08
# hfl_date: 2019-08-10
station_code,time,wse,water_depth,unit,lat,lon
033-SWRDKOCHI,2024-01-01 00:00:00,2.23,3.73,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-01 08:00:00,2.21,3.71,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-01 13:00:00,2.22,3.72,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-01 18:00:00,2.2,3.7,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-02 08:00:00,2.17,3.67,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-02 13:00:00,2.16,3.66,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-02 18:00:00,2.14,3.64,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-03 08:00:00,2.1,3.6,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-03 13:00:00,2.12,3.62,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-03 18:00:00,2.1,3.6,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-04 08:00:00,2.15,3.65,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-04 13:00:00,2.18,3.68,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-04 18:00:00,2.2,3.7,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-05 08:00:00,2.28,3.78,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-05 13:00:00,2.83,4.33,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-05 18:00:00,3.29,4.79,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-06 08:00:00,3.11,4.609999999999999,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-06 13:00:00,3.08,4.58,m,10.425,76.23777777777778
033-SWRDKOCHI,2024-01-06 18:00:00,3.05,4.55,m,10.425,76.23777777777778
