# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 036-MDBURLA
# station_name: Naraj
# latitude: 20.471666666666664
# longitude: 85.76555555555555
# river: Mahanadi
# rl_zero: 0.0
# warning_level: 25.41
# danger_level: 26.41
# hfl: 27.61
# hfl_date: 1982-08-31
station_code,time,wse,water_depth,unit,lat,lon
036-MDBURLA,2024-01-01 08:00:00,21.33,21.33,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-01 13:00:00,21.33,21.33,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-01 18:00:00,21.33,21.33,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-02 08:00:00,21.32,21.32,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-02 13:00:00,21.32,21.32,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-02 18:00:00,21.33,21.33,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-03 08:00:00,21.34,21.34,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-03 13:00:00,21.34,21.34,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-03 18:00:00,21.34,21.34,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-04 08:00:00,21.34,21.34,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-04 13:00:00,21.34,21.34,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-04 18:00:00,21.33,21.33,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-05 08:00:00,21.3,21.3,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-05 13:00:00,21.28,21.28,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-06 08:00:00,21.2,21.2,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-06 13:00:00,21.15,21.15,m,20.471666666666664,85.76555555555555
036-MDBURLA,2024-01-06 18:00:00,21.1,21.1,m,20.471666666666664,85.76555555555555
