# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 039-MBDNEW
# station_name: B G Road
# latitude: 27.066944444444445
# longitude: 94.53166666666668
# river: Brahmaputra
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 92.62
# hfl_date: 2021-08-31
station_code,time,wse,water_depth,unit,lat,lon
039-MBDNEW,2024-01-01 08:00:00,86.28,86.28,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-01 13:00:00,86.27,86.27,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-01 18:00:00,86.27,86.27,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-02 08:00:00,86.26,86.26,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-02 13:00:00,86.26,86.26,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-02 18:00:00,86.25,86.25,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-03 08:00:00,86.25,86.25,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-03 13:00:00,86.25,86.25,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-03 18:00:00,86.25,86.25,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-04 08:00:00,86.24,86.24,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-04 13:00:00,86.24,86.24,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-04 18:00:00,86.37,86.37,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-05 08:00:00,86.41,86.41,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-05 13:00:00,86.45,86.45,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-05 18:00:00,86.49,86.49,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-06 08:00:00,86.54,86.54,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-06 13:00:00,86.58,86.58,m,27.066944444444445,94.53166666666668
039-MBDNEW,2024-01-06 18:00:00,86.64,86.64,m,27.066944444444445,94.53166666666668
