# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 042-LBDJPG
# station_name: Suldaguri
# latitude: 26.25361111111112
# longitude: 89.61583333333333
# river: Torsa
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 35.3
# hfl_date: 1993-07-21
station_code,time,wse,water_depth,unit,lat,lon
042-LBDJPG,2024-01-01 08:00:00,30.16,30.16,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-01 13:00:00,30.16,30.16,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-01 18:00:00,30.16,30.16,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-02 08:00:00,30.15,30.15,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-02 13:00:00,30.15,30.15,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-02 18:00:00,30.15,30.15,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-03 08:00:00,30.15,30.15,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-03 13:00:00,30.15,30.15,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-03 18:00:00,30.15,30.15,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-04 08:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-04 13:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-04 18:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-05 08:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-05 13:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-05 18:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-06 08:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-06 13:00:00,30.14,30.14,m,26.25361111111112,89.61583333333333
042-LBDJPG,2024-01-06 18:00:00,30.13,30.13,m,26.25361111111112,89.61583333333333
