# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 046-MDBURLA
# station_name: Kishan Nagar
# latitude: 20.42666666666667
# longitude: 86.08916666666666
# river: Mahanadi
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 15.98
# hfl_date: 2014-08-08
station_code,time,wse,water_depth,unit,lat,lon
046-MDBURLA,2024-01-01 08:00:00,11.0,11.0,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-01 13:00:00,11.02,11.02,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-01 18:00:00,11.0,11.0,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-02 08:00:00,10.96,10.96,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-02 13:00:00,10.94,10.94,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-02 18:00:00,10.94,10.94,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-03 08:00:00,11.04,11.04,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-03 13:00:00,11.1,11.1,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-03 18:00:00,11.02,11.02,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-04 08:00:00,11.0,11.0,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-04 13:00:00,11.0,11.0,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-04 18:00:00,10.96,10.96,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-05 08:00:00,10.94,10.94,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-05 13:00:00,10.94,10.94,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-05 18:00:00,10.96,10.96,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-06 08:00:00,11.02,11.02,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-06 13:00:00,11.06,11.06,m,20.42666666666667,86.08916666666666
046-MDBURLA,2024-01-06 18:00:00,11.0,11.0,m,20.42666666666667,86.08916666666666
