# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 048-MBDNEW
# station_name: Magurgaon
# latitude: 26.18694444444445
# longitude: 92.55027777777778
# river: Kopili
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 59.55
# hfl_date: 2022-06-21
station_code,time,wse,water_depth,unit,lat,lon
048-MBDNEW,2024-01-01 08:00:00,51.46,51.46,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-01 13:00:00,51.45,51.45,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-01 18:00:00,51.44,51.44,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-02 08:00:00,51.41,51.41,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-02 13:00:00,51.39,51.39,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-02 18:00:00,51.38,51.38,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-03 08:00:00,51.35,51.35,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-03 13:00:00,51.34,51.34,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-03 18:00:00,51.33,51.33,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-04 08:00:00,51.31,51.31,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-04 13:00:00,51.3,51.3,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-04 18:00:00,51.29,51.29,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-05 08:00:00,51.28,51.28,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-05 13:00:00,51.28,51.28,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-05 18:00:00,51.27,51.27,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-06 08:00:00,51.26,51.26,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-06 13:00:00,51.26,51.26,m,26.18694444444445,92.55027777777778
048-MBDNEW,2024-01-06 18:00:00,51.25,51.25,m,26.18694444444445,92.55027777777778
