# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 053-LYDAGRA
# station_name: BAROOD
# latitude: 24.371944444444445
# longitude: 77.50583333333333
# river: Sindh
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 489.47
# hfl_date: 2021-08-06
station_code,time,wse,water_depth,unit,lat,lon
053-LYDAGRA,2024-01-01 08:00:00,474.18,474.18,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-01 13:00:00,474.14,474.14,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-01 18:00:00,474.11,474.11,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-02 08:00:00,474.08,474.08,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-02 13:00:00,474.06,474.06,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-02 18:00:00,474.05,474.05,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-03 08:00:00,474.03,474.03,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-03 13:00:00,474.02,474.02,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-03 18:00:00,474.01,474.01,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-04 08:00:00,474.0,474.0,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-04 13:00:00,474.0,474.0,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-04 18:00:00,473.99,473.99,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-05 08:00:00,473.97,473.97,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-05 13:00:00,473.96,473.96,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-05 18:00:00,473.95,473.95,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-06 08:00:00,473.93,473.93,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-06 13:00:00,473.93,473.93,m,24.371944444444445,77.50583333333333
053-LYDAGRA,2024-01-06 18:00:00,473.93,473.93,m,24.371944444444445,77.50583333333333
