# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 060-MBDNEW
# station_name: Langrimukh
# latitude: 25.75777777777778
# longitude: 92.12444444444444
# river: Kopili
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 76.78
# hfl_date: 2022-06-17
station_code,time,wse,water_depth,unit,lat,lon
060-MBDNEW,2024-01-01 08:00:00,67.87,67.87,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-01 13:00:00,67.87,67.87,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-01 18:00:00,67.87,67.87,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-02 08:00:00,67.86,67.86,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-02 13:00:00,67.86,67.86,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-02 18:00:00,67.86,67.86,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-03 08:00:00,67.85,67.85,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-03 13:00:00,67.85,67.85,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-03 18:00:00,67.86,67.86,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-04 08:00:00,67.87,67.87,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-04 13:00:00,67.88,67.88,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-04 18:00:00,67.89,67.89,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-05 08:00:00,67.88,67.88,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-05 13:00:00,67.88,67.88,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-05 18:00:00,67.89,67.89,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-06 08:00:00,67.89,67.89,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-06 13:00:00,67.89,67.89,m,25.75777777777778,92.12444444444444
060-MBDNEW,2024-01-06 18:00:00,67.9,67.9,m,25.75777777777778,92.12444444444444
