# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 065-MBDNEW
# station_name: Chaklagaon
# latitude: 26.385277777777777
# longitude: 90.80666666666666
# river: Manas
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 46.18
# hfl_date: 2019-07-24
station_code,time,wse,water_depth,unit,lat,lon
065-MBDNEW,2024-01-01 08:00:00,36.61,36.61,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-01 13:00:00,36.61,36.61,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-01 18:00:00,36.61,36.61,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-02 08:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-02 13:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-02 18:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-03 08:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-03 13:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-03 18:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-04 08:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-04 13:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-04 18:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-05 08:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-05 13:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-05 18:00:00,36.6,36.6,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-06 08:00:00,36.59,36.59,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-06 13:00:00,36.59,36.59,m,26.385277777777777,90.80666666666666
065-MBDNEW,2024-01-06 18:00:00,36.59,36.59,m,26.385277777777777,90.80666666666666
