# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 032-wgdngp
# station_name: Gosikhurd Dam
# latitude: 20.871944444444445
# longitude: 79.60388888888889
# river: Wainganga
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: 245.5
# hfl_date: 2022-01-10
station_code,time,wse,water_depth,unit,lat,lon
032-wgdngp,2024-01-01 08:00:00,243.66,243.66,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-02 08:00:00,243.67,243.67,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-03 08:00:00,243.69,243.69,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-04 08:00:00,243.71,243.71,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-05 08:00:00,243.73,243.73,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-06 08:00:00,243.76,243.76,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-08 08:00:00,243.78,243.78,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-09 08:00:00,243.82,243.82,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-10 08:00:00,243.83,243.83,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-11 08:00:00,243.85,243.85,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-12 08:00:00,243.84,243.84,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-13 08:00:00,243.83,243.83,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-14 08:00:00,243.82,243.82,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-15 08:00:00,243.82,243.82,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-16 08:00:00,243.81,243.81,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-17 08:00:00,243.8,243.8,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-18 08:00:00,243.78,243.78,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-19 08:00:00,243.76,243.76,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-20 08:00:00,243.74,243.74,m,20.871944444444445,79.60388888888889
032-wgdngp,2024-01-21 08:00:00,243.72,243.72,m,20.871944444444445,79.60388888888889
