code,name
040-CDJAPR,Parwan pick-up Weir
038-CDJAPR,Kalisindh Dam
039-UKDPUNE,Mirawadi
008-LKDHYD,Yadgir
012-UKDPUNE,Wadakbal
Ithai-9,Ithai_WLR
041-CDJAPR,Panchana Dam
040-UKDPUNE,Targaon
025-mgd4ptn,Kursela
031-TDSURAT,VAPI
009NEID3,Yingkiong 
004RAMES,RAMESHWAR
JAUL-01,Jauljibi
017-WGDNGP,Bamni (Ballarsha)
018-UGDHYD,Singur Reservoir
028-MAHGAND,Abu Road
005PURNA,PURNAGIRI
011-MGD1LKN,Ayodhya 
MADK-01,Madkote
Irilbung-10,Irilbung_WLR
006-mgd5ptn,Bhagalpur
006RUPALI,RUPALIGAD
039-CDJAPR,Gudha Dam
008-mgd2lkn,Moradabad
010-mgd2lkn,Dabri
013-CDJAPR,Manderial
057-erdbwn,Getalsud Reservoir
020-TDSURAT,SARANGKHEDA
007-LKDHYD,Malkhed
001-DDASL	,Tilaiya Reservoir
018MAHGAND,Dharoi Dam
030-UBDDIB,NT Road Crossing Jia-Bharali
055-TDSURAT,BAMRUL
036-UYDDEL,Gaura
KATRAGADDA,KATRAGADDA
008SHD,Harshil
003-SHDSIM,NATHPA
BB000D6,PANCHARATNA
040-UYDDEL,Ghodopipli
002-LYDAGRA,ETAWAH
025-mgd5ptn,Mohammad Ganj
041LBDJPG,Sonapur
036-UKDPUNE,Hipparagi Barrage
025-MGD1LKN,Kakrahi
009-UYDDEL,Hathnikund Barrage
040-TDSURAT,PIMPRI
034-LGDHYD,PVNRao Kantanapally Project
024-LBDJPG,Chepan
008-ERDBWN,Jamshedpur
008-UYDDEL,Paonta
043-TDSURAT,NAWTHA
038-mgd2lkn,Kasmara
040-MAHGAND,Mount Abu
019-UBDDIB,Neamatighat
038MAHGAND,Sapawada
018-chejmu,Ganeshpura
CW1WAR000076,Isapur Reservoir
017-MGD2LKN,Garhmukteshwar
015-MBDGHY,Matijuri
042-TDSURAT,DHUPESHWAR
019-ERDBWN,Panposh
041-TDSURAT,TALASWADA
039-TDSURAT,WANKHED
019-MBDGHY,Amarpur
017-NDBHP,Mandleshwar
021MAHGAND,Vautha
014-NDBHP,Handia
001-mdburla,Mahulpali
002-SHDSIM(a),MOORANG
007-ERDBWN,Muri
056-mgd2lkn,Seohara
002-NDBHP,Bamni
Loh-01,ID Lohaghat
49-LGDHYD,Jalaput dam (Machkund)
008-DDASL	,Tenughat Reservoir
022-MDBURLA,Kesinga
